Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
login_data,Chrome 119.0.0.0,,,2023-12-01 16:03:23,2023-12-01 16:04:06,42.181s,PASSED
,,,,,,,
Test Cases/Login/login,Chrome 119.0.0.0,,,2023-12-01 16:03:24,2023-12-01 16:03:32,7.841s,PASSED
"openBrowser("""")",Chrome 119.0.0.0,,,2023-12-01 16:03:24,2023-12-01 16:03:27,2.242s,PASSED
navigateToUrl(Baseurl),Chrome 119.0.0.0,,,2023-12-01 16:03:27,2023-12-01 16:03:29,2.036s,PASSED
"setText(findTestObject(""Object Repository/Login_OR/Page_Swag Labs/input_username""), Username)",Chrome 119.0.0.0,,,2023-12-01 16:03:29,2023-12-01 16:03:30,1.624s,PASSED
"setText(findTestObject(""Object Repository/Login_OR/Page_Swag Labs/input_password""), Password)",Chrome 119.0.0.0,,,2023-12-01 16:03:30,2023-12-01 16:03:31,0.904s,PASSED
"click(findTestObject(""Object Repository/Login_OR/Page_Swag Labs/input_login_button""))",Chrome 119.0.0.0,,,2023-12-01 16:03:31,2023-12-01 16:03:32,0.512s,PASSED
,,,,,,,
Test Cases/Login/login,Chrome 119.0.0.0,,,2023-12-01 16:03:32,2023-12-01 16:03:37,5.222s,PASSED
"openBrowser("""")",Chrome 119.0.0.0,,,2023-12-01 16:03:32,2023-12-01 16:03:33,0.989s,PASSED
navigateToUrl(Baseurl),Chrome 119.0.0.0,,,2023-12-01 16:03:33,2023-12-01 16:03:34,1.144s,PASSED
"setText(findTestObject(""Object Repository/Login_OR/Page_Swag Labs/input_username""), Username)",Chrome 119.0.0.0,,,2023-12-01 16:03:34,2023-12-01 16:03:36,1.988s,PASSED
"setText(findTestObject(""Object Repository/Login_OR/Page_Swag Labs/input_password""), Password)",Chrome 119.0.0.0,,,2023-12-01 16:03:36,2023-12-01 16:03:37,0.695s,PASSED
"click(findTestObject(""Object Repository/Login_OR/Page_Swag Labs/input_login_button""))",Chrome 119.0.0.0,,,2023-12-01 16:03:37,2023-12-01 16:03:37,0.381s,PASSED
,,,,,,,
Test Cases/Login/login,Chrome 119.0.0.0,,,2023-12-01 16:03:37,2023-12-01 16:03:44,6.445s,PASSED
"openBrowser("""")",Chrome 119.0.0.0,,,2023-12-01 16:03:37,2023-12-01 16:03:38,0.964s,PASSED
navigateToUrl(Baseurl),Chrome 119.0.0.0,,,2023-12-01 16:03:38,2023-12-01 16:03:40,2.310s,PASSED
"setText(findTestObject(""Object Repository/Login_OR/Page_Swag Labs/input_username""), Username)",Chrome 119.0.0.0,,,2023-12-01 16:03:40,2023-12-01 16:03:42,2.061s,PASSED
"setText(findTestObject(""Object Repository/Login_OR/Page_Swag Labs/input_password""), Password)",Chrome 119.0.0.0,,,2023-12-01 16:03:42,2023-12-01 16:03:43,0.664s,PASSED
"click(findTestObject(""Object Repository/Login_OR/Page_Swag Labs/input_login_button""))",Chrome 119.0.0.0,,,2023-12-01 16:03:43,2023-12-01 16:03:44,0.437s,PASSED
,,,,,,,
Test Cases/Login/login,Chrome 119.0.0.0,,,2023-12-01 16:03:44,2023-12-01 16:03:55,11.652s,PASSED
"openBrowser("""")",Chrome 119.0.0.0,,,2023-12-01 16:03:44,2023-12-01 16:03:45,1.016s,PASSED
navigateToUrl(Baseurl),Chrome 119.0.0.0,,,2023-12-01 16:03:45,2023-12-01 16:03:47,2.831s,PASSED
"setText(findTestObject(""Object Repository/Login_OR/Page_Swag Labs/input_username""), Username)",Chrome 119.0.0.0,,,2023-12-01 16:03:47,2023-12-01 16:03:49,1.633s,PASSED
"setText(findTestObject(""Object Repository/Login_OR/Page_Swag Labs/input_password""), Password)",Chrome 119.0.0.0,,,2023-12-01 16:03:49,2023-12-01 16:03:50,0.718s,PASSED
"click(findTestObject(""Object Repository/Login_OR/Page_Swag Labs/input_login_button""))",Chrome 119.0.0.0,,,2023-12-01 16:03:50,2023-12-01 16:03:55,5.439s,PASSED
,,,,,,,
Test Cases/Login/login,Chrome 119.0.0.0,,,2023-12-01 16:03:55,2023-12-01 16:04:01,5.187s,PASSED
"openBrowser("""")",Chrome 119.0.0.0,,,2023-12-01 16:03:55,2023-12-01 16:03:56,1.031s,PASSED
