Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
login_data,Chrome 119.0.0.0,,,2023-12-03 14:55:03,2023-12-03 14:58:45,3m - 42.471s,FAILED
,,,,,,,
Test Cases/Login/login,Chrome 119.0.0.0,,,2023-12-03 14:55:03,2023-12-03 14:55:48,45.365s,FAILED
"openBrowser("""")",Chrome 119.0.0.0,,,2023-12-03 14:55:04,2023-12-03 14:55:06,2.035s,PASSED
navigateToUrl(Baseurl),Chrome 119.0.0.0,,,2023-12-03 14:55:06,2023-12-03 14:55:08,2.017s,PASSED
"setText(findTestObject(""Object Repository/Login_OR/Page_Swag Labs/input_username""), Username)",Chrome 119.0.0.0,,,2023-12-03 14:55:08,2023-12-03 14:55:10,2.536s,PASSED
"setText(findTestObject(""Object Repository/Login_OR/Page_Swag Labs/input_password""), Password)",Chrome 119.0.0.0,,,2023-12-03 14:55:10,2023-12-03 14:55:11,0.662s,PASSED
"click(findTestObject(""Object Repository/Login_OR/Page_Swag Labs/input_login_button""))",Chrome 119.0.0.0,,,2023-12-03 14:55:11,2023-12-03 14:55:11,0.506s,PASSED
delay(3),Chrome 119.0.0.0,,,2023-12-03 14:55:11,2023-12-03 14:55:14,3.027s,PASSED
"click(findTestObject(""Login_OR/Page_Swag Labs/Click_menu_burger""))",Chrome 119.0.0.0,,,2023-12-03 14:55:14,2023-12-03 14:55:15,0.333s,PASSED
delay(1),Chrome 119.0.0.0,,,2023-12-03 14:55:15,2023-12-03 14:55:16,1.005s,PASSED
"click(findTestObject(""Login_OR/Page_Swag Labs/Click_menu_burger""))",Chrome 119.0.0.0,,,2023-12-03 14:55:16,2023-12-03 14:55:48,32.731s,FAILED
,,,,,,,
Test Cases/Login/login,Chrome 119.0.0.0,,,2023-12-03 14:55:48,2023-12-03 14:56:31,42.831s,FAILED
"openBrowser("""")",Chrome 119.0.0.0,,,2023-12-03 14:55:48,2023-12-03 14:55:50,1.145s,PASSED
navigateToUrl(Baseurl),Chrome 119.0.0.0,,,2023-12-03 14:55:50,2023-12-03 14:55:51,1.202s,PASSED
"setText(findTestObject(""Object Repository/Login_OR/Page_Swag Labs/input_username""), Username)",Chrome 119.0.0.0,,,2023-12-03 14:55:51,2023-12-03 14:55:53,2.419s,PASSED
"setText(findTestObject(""Object Repository/Login_OR/Page_Swag Labs/input_password""), Password)",Chrome 119.0.0.0,,,2023-12-03 14:55:53,2023-12-03 14:55:54,0.644s,PASSED
"click(findTestObject(""Object Repository/Login_OR/Page_Swag Labs/input_login_button""))",Chrome 119.0.0.0,,,2023-12-03 14:55:54,2023-12-03 14:55:54,0.425s,PASSED
delay(3),Chrome 119.0.0.0,,,2023-12-03 14:55:54,2023-12-03 14:55:57,3.004s,PASSED
"click(findTestObject(""Login_OR/Page_Swag Labs/Click_menu_burger""))",Chrome 119.0.0.0,,,2023-12-03 14:55:57,2023-12-03 14:55:58,0.320s,PASSED
delay(1),Chrome 119.0.0.0,,,2023-12-03 14:55:58,2023-12-03 14:55:59,1.008s,PASSED
"click(findTestObject(""Login_OR/Page_Swag Labs/Click_menu_burger""))",Chrome 119.0.0.0,,,2023-12-03 14:55:59,2023-12-03 14:56:31,32.630s,FAILED
,,,,,,,
Test Cases/Login/login,Chrome 119.0.0.0,,,2023-12-03 14:56:31,2023-12-03 14:57:20,49.004s,FAILED
"openBrowser("""")",Chrome 119.0.0.0,,,2023-12-03 14:56:31,2023-12-03 14:56:32,0.918s,PASSED
navigateToUrl(Baseurl),Chrome 119.0.0.0,,,2023-12-03 14:56:32,2023-12-03 14:56:33,0.914s,PASSED
"setText(findTestObject(""Object Repository/Login_OR/Page_Swag Labs/input_username""), Username)",Chrome 119.0.0.0,,,2023-12-03 14:56:33,2023-12-03 14:56:36,2.832s,PASSED
"setText(findTestObject(""Object Repository/Login_OR/Page_Swag Labs/input_password""), Password)",Chrome 119.0.0.0,,,2023-12-03 14:56:36,2023-12-03 14:56:37,0.635s,PASSED
"click(findTestObject(""Object Repository/Login_OR/Page_Swag Labs/input_login_button""))",Chrome 119.0.0.0,,,2023-12-03 14:56:37,2023-12-03 14:56:42,5.405s,PASSED
delay(3),Chrome 119.0.0.0,,,2023-12-03 14:56:42,2023-12-03 14:56:45,3.003s,PASSED
"click(findTestObject(""Login_OR/Page_Swag Labs/Click_menu_burger""))",Chrome 119.0.0.0,,,2023-12-03 14:56:45,2023-12-03 14:56:45,0.319s,PASSED
delay(1),Chrome 119.0.0.0,,,2023-12-03 14:56:45,2023-12-03 14:56:46,1.003s,PASSED
"click(findTestObject(""Login_OR/Page_Swag Labs/Click_menu_burger""))",Chrome 119.0.0.0,,,2023-12-03 14:56:46,2023-12-03 14:57:20,33.951s,FAILED
,,,,,,,
Test Cases/Login/login,Chrome 119.0.0.0,,,2023-12-03 14:57:20,2023-12-03 14:58:03,42.447s,FAILED
"openBrowser("""")",Chrome 119.0.0.0,,,2023-12-03 14:57:20,2023-12-03 14:57:21,0.853s,PASSED
navigateToUrl(Baseurl),Chrome 119.0.0.0,,,2023-12-03 14:57:21,2023-12-03 14:57:22,1.202s,PASSED
