Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
login_data,Chrome 119.0.0.0,,,2023-12-03 15:36:25,2023-12-03 15:37:34,1m - 9.106s,PASSED
,,,,,,,
Test Cases/Login/login,Chrome 119.0.0.0,,,2023-12-03 15:36:26,2023-12-03 15:36:43,16.509s,PASSED
"openBrowser("""")",Chrome 119.0.0.0,,,2023-12-03 15:36:27,2023-12-03 15:36:32,4.632s,PASSED
navigateToUrl(Baseurl),Chrome 119.0.0.0,,,2023-12-03 15:36:32,2023-12-03 15:36:33,1.537s,PASSED
"setText(findTestObject(""Object Repository/Login_OR/Page_Swag Labs/input_username""), Username)",Chrome 119.0.0.0,,,2023-12-03 15:36:33,2023-12-03 15:36:36,2.266s,PASSED
delay(0.5),Chrome 119.0.0.0,,,2023-12-03 15:36:36,2023-12-03 15:36:36,0.523s,PASSED
"setText(findTestObject(""Object Repository/Login_OR/Page_Swag Labs/input_password""), Password)",Chrome 119.0.0.0,,,2023-12-03 15:36:36,2023-12-03 15:36:37,0.804s,PASSED
"click(findTestObject(""Object Repository/Login_OR/Page_Swag Labs/input_login_button""))",Chrome 119.0.0.0,,,2023-12-03 15:36:37,2023-12-03 15:36:38,0.546s,PASSED
delay(3),Chrome 119.0.0.0,,,2023-12-03 15:36:38,2023-12-03 15:36:41,3.003s,PASSED
"click(findTestObject(""Login_OR/Page_Swag Labs/click_menu_burger""))",Chrome 119.0.0.0,,,2023-12-03 15:36:41,2023-12-03 15:36:41,0.421s,PASSED
delay(1),Chrome 119.0.0.0,,,2023-12-03 15:36:41,2023-12-03 15:36:42,1.003s,PASSED
"enhancedClick(findTestObject(""Login_OR/Page_Swag Labs/click_button_logout""))",Chrome 119.0.0.0,,,2023-12-03 15:36:42,2023-12-03 15:36:42,0.408s,PASSED
closeBrowser(),Chrome 119.0.0.0,,,2023-12-03 15:36:42,2023-12-03 15:36:43,0.158s,PASSED
,,,,,,,
Test Cases/Login/login,Chrome 119.0.0.0,,,2023-12-03 15:36:43,2023-12-03 15:36:54,11.014s,PASSED
"openBrowser("""")",Chrome 119.0.0.0,,,2023-12-03 15:36:43,2023-12-03 15:36:44,1.018s,PASSED
navigateToUrl(Baseurl),Chrome 119.0.0.0,,,2023-12-03 15:36:44,2023-12-03 15:36:45,1.041s,PASSED
