Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
login_data,Chrome 119.0.0.0,,,2023-12-01 17:01:11,2023-12-01 17:02:08,56.856s,PASSED
,,,,,,,
Test Cases/Login/login,Chrome 119.0.0.0,,,2023-12-01 17:01:12,2023-12-01 17:01:24,11.615s,PASSED
"openBrowser("""")",Chrome 119.0.0.0,,,2023-12-01 17:01:12,2023-12-01 17:01:14,2.048s,PASSED
navigateToUrl(Baseurl),Chrome 119.0.0.0,,,2023-12-01 17:01:14,2023-12-01 17:01:16,1.124s,PASSED
"setText(findTestObject(""Object Repository/Login_OR/Page_Swag Labs/input_username""), Username)",Chrome 119.0.0.0,,,2023-12-01 17:01:16,2023-12-01 17:01:18,2.122s,PASSED
"setText(findTestObject(""Object Repository/Login_OR/Page_Swag Labs/input_password""), Password)",Chrome 119.0.0.0,,,2023-12-01 17:01:18,2023-12-01 17:01:18,0.708s,PASSED
"click(findTestObject(""Object Repository/Login_OR/Page_Swag Labs/input_login_button""))",Chrome 119.0.0.0,,,2023-12-01 17:01:18,2023-12-01 17:01:19,0.453s,PASSED
delay(3),Chrome 119.0.0.0,,,2023-12-01 17:01:19,2023-12-01 17:01:22,3.038s,PASSED
"click(findTestObject(""Login_OR/Page_Swag Labs/Click_menu_burger""))",Chrome 119.0.0.0,,,2023-12-01 17:01:22,2023-12-01 17:01:22,0.325s,PASSED
delay(1),Chrome 119.0.0.0,,,2023-12-01 17:01:22,2023-12-01 17:01:23,1.003s,PASSED
"click(findTestObject(""Login_OR/Page_Swag Labs/click_button_logout""))",Chrome 119.0.0.0,,,2023-12-01 17:01:23,2023-12-01 17:01:24,0.335s,PASSED
,,,,,,,
Test Cases/Login/login,Chrome 119.0.0.0,,,2023-12-01 17:01:24,2023-12-01 17:01:33,9.304s,PASSED
"openBrowser("""")",Chrome 119.0.0.0,,,2023-12-01 17:01:24,2023-12-01 17:01:25,0.952s,PASSED
navigateToUrl(Baseurl),Chrome 119.0.0.0,,,2023-12-01 17:01:25,2023-12-01 17:01:25,0.577s,PASSED
"setText(findTestObject(""Object Repository/Login_OR/Page_Swag Labs/input_username""), Username)",Chrome 119.0.0.0,,,2023-12-01 17:01:25,2023-12-01 17:01:27,1.972s,PASSED
"setText(findTestObject(""Object Repository/Login_OR/Page_Swag Labs/input_password""), Password)",Chrome 119.0.0.0,,,2023-12-01 17:01:27,2023-12-01 17:01:28,0.689s,PASSED
"click(findTestObject(""Object Repository/Login_OR/Page_Swag Labs/input_login_button""))",Chrome 119.0.0.0,,,2023-12-01 17:01:28,2023-12-01 17:01:28,0.431s,PASSED
delay(3),Chrome 119.0.0.0,,,2023-12-01 17:01:28,2023-12-01 17:01:31,3.007s,PASSED
"click(findTestObject(""Login_OR/Page_Swag Labs/Click_menu_burger""))",Chrome 119.0.0.0,,,2023-12-01 17:01:31,2023-12-01 17:01:32,0.334s,PASSED
delay(1),Chrome 119.0.0.0,,,2023-12-01 17:01:32,2023-12-01 17:01:33,1.004s,PASSED
"click(findTestObject(""Login_OR/Page_Swag Labs/click_button_logout""))",Chrome 119.0.0.0,,,2023-12-01 17:01:33,2023-12-01 17:01:33,0.321s,PASSED
,,,,,,,
Test Cases/Login/login,Chrome 119.0.0.0,,,2023-12-01 17:01:33,2023-12-01 17:01:50,16.700s,PASSED
"openBrowser("""")",Chrome 119.0.0.0,,,2023-12-01 17:01:33,2023-12-01 17:01:34,1.144s,PASSED
navigateToUrl(Baseurl),Chrome 119.0.0.0,,,2023-12-01 17:01:34,2023-12-01 17:01:35,0.767s,PASSED
"setText(findTestObject(""Object Repository/Login_OR/Page_Swag Labs/input_username""), Username)",Chrome 119.0.0.0,,,2023-12-01 17:01:35,2023-12-01 17:01:37,2.311s,PASSED
"setText(findTestObject(""Object Repository/Login_OR/Page_Swag Labs/input_password""), Password)",Chrome 119.0.0.0,,,2023-12-01 17:01:37,2023-12-01 17:01:38,0.672s,PASSED
"click(findTestObject(""Object Repository/Login_OR/Page_Swag Labs/input_login_button""))",Chrome 119.0.0.0,,,2023-12-01 17:01:38,2023-12-01 17:01:43,5.414s,PASSED
delay(3),Chrome 119.0.0.0,,,2023-12-01 17:01:43,2023-12-01 17:01:46,3.003s,PASSED
"click(findTestObject(""Login_OR/Page_Swag Labs/Click_menu_burger""))",Chrome 119.0.0.0,,,2023-12-01 17:01:46,2023-12-01 17:01:48,2.028s,PASSED
delay(1),Chrome 119.0.0.0,,,2023-12-01 17:01:48,2023-12-01 17:01:49,1.004s,PASSED
"click(findTestObject(""Login_OR/Page_Swag Labs/click_button_logout""))",Chrome 119.0.0.0,,,2023-12-01 17:01:49,2023-12-01 17:01:50,0.343s,PASSED
,,,,,,,
Test Cases/Login/login,Chrome 119.0.0.0,,,2023-12-01 17:01:50,2023-12-01 17:01:59,9.492s,PASSED
"openBrowser("""")",Chrome 119.0.0.0,,,2023-12-01 17:01:50,2023-12-01 17:01:51,0.992s,PASSED
navigateToUrl(Baseurl),Chrome 119.0.0.0,,,2023-12-01 17:01:51,2023-12-01 17:01:52,0.833s,PASSED
"setText(findTestObject(""Object Repository/Login_OR/Page_Swag Labs/input_username""), Username)",Chrome 119.0.0.0,,,2023-12-01 17:01:52,2023-12-01 17:01:53,1.928s,PASSED
"setText(findTestObject(""Object Repository/Login_OR/Page_Swag Labs/input_password""), Password)",Chrome 119.0.0.0,,,2023-12-01 17:01:53,2023-12-01 17:01:54,0.641s,PASSED
"click(findTestObject(""Object Repository/Login_OR/Page_Swag Labs/input_login_button""))",Chrome 119.0.0.0,,,2023-12-01 17:01:54,2023-12-01 17:01:55,0.412s,PASSED
delay(3),Chrome 119.0.0.0,,,2023-12-01 17:01:55,2023-12-01 17:01:58,3.003s,PASSED
"click(findTestObject(""Login_OR/Page_Swag Labs/Click_menu_burger""))",Chrome 119.0.0.0,,,2023-12-01 17:01:58,2023-12-01 17:01:58,0.327s,PASSED
delay(1),Chrome 119.0.0.0,,,2023-12-01 17:01:58,2023-12-01 17:01:59,1.003s,PASSED
"click(findTestObject(""Login_OR/Page_Swag Labs/click_button_logout""))",Chrome 119.0.0.0,,,2023-12-01 17:01:59,2023-12-01 17:01:59,0.338s,PASSED
,,,,,,,
Test Cases/Login/login,Chrome 119.0.0.0,,,2023-12-01 17:01:59,2023-12-01 17:02:08,9.101s,PASSED
"openBrowser("""")",Chrome 119.0.0.0,,,2023-12-01 17:01:59,2023-12-01 17:02:00,0.884s,PASSED
navigateToUrl(Baseurl),Chrome 119.0.0.0,,,2023-12-01 17:02:00,2023-12-01 17:02:01,0.591s,PASSED
"setText(findTestObject(""Object Repository/Login_OR/Page_Swag Labs/input_username""), Username)",Chrome 119.0.0.0,,,2023-12-01 17:02:01,2023-12-01 17:02:03,1.833s,PASSED
"setText(findTestObject(""Object Repository/Login_OR/Page_Swag Labs/input_password""), Password)",Chrome 119.0.0.0,,,2023-12-01 17:02:03,2023-12-01 17:02:03,0.675s,PASSED
"click(findTestObject(""Object Repository/Login_OR/Page_Swag Labs/input_login_button""))",Chrome 119.0.0.0,,,2023-12-01 17:02:03,2023-12-01 17:02:04,0.432s,PASSED
delay(3),Chrome 119.0.0.0,,,2023-12-01 17:02:04,2023-12-01 17:02:07,3.005s,PASSED
"click(findTestObject(""Login_OR/Page_Swag Labs/Click_menu_burger""))",Chrome 119.0.0.0,,,2023-12-01 17:02:07,2023-12-01 17:02:07,0.320s,PASSED
delay(1),Chrome 119.0.0.0,,,2023-12-01 17:02:07,2023-12-01 17:02:08,1.002s,PASSED
"click(findTestObject(""Login_OR/Page_Swag Labs/click_button_logout""))",Chrome 119.0.0.0,,,2023-12-01 17:02:08,2023-12-01 17:02:08,0.343s,PASSED
