Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
login_data,Chrome 119.0.0.0,,,2023-12-03 15:30:06,2023-12-03 15:33:48,3m - 42.309s,FAILED
,,,,,,,
Test Cases/Login/login,Chrome 119.0.0.0,,,2023-12-03 15:30:07,2023-12-03 15:30:51,44.800s,FAILED
"openBrowser("""")",Chrome 119.0.0.0,,,2023-12-03 15:30:07,2023-12-03 15:30:09,2.253s,PASSED
navigateToUrl(Baseurl),Chrome 119.0.0.0,,,2023-12-03 15:30:09,2023-12-03 15:30:10,1.029s,PASSED
"setText(findTestObject(""Object Repository/Login_OR/Page_Swag Labs/input_username""), Username)",Chrome 119.0.0.0,,,2023-12-03 15:30:10,2023-12-03 15:30:13,2.605s,PASSED
"setText(findTestObject(""Object Repository/Login_OR/Page_Swag Labs/input_password""), Password)",Chrome 119.0.0.0,,,2023-12-03 15:30:13,2023-12-03 15:30:14,0.803s,PASSED
"click(findTestObject(""Object Repository/Login_OR/Page_Swag Labs/input_login_button""))",Chrome 119.0.0.0,,,2023-12-03 15:30:14,2023-12-03 15:30:14,0.432s,PASSED
delay(3),Chrome 119.0.0.0,,,2023-12-03 15:30:14,2023-12-03 15:30:17,3.051s,PASSED
"click(findTestObject(""Login_OR/Page_Swag Labs/Click_menu_burger""))",Chrome 119.0.0.0,,,2023-12-03 15:30:17,2023-12-03 15:30:18,0.355s,PASSED
delay(1),Chrome 119.0.0.0,,,2023-12-03 15:30:18,2023-12-03 15:30:19,1.008s,PASSED
"click(findTestObject(""Login_OR/Page_Swag Labs/Click_menu_burger""))",Chrome 119.0.0.0,,,2023-12-03 15:30:19,2023-12-03 15:30:51,32.761s,FAILED
,,,,,,,
Test Cases/Login/login,Chrome 119.0.0.0,,,2023-12-03 15:30:51,2023-12-03 15:31:34,42.828s,FAILED
"openBrowser("""")",Chrome 119.0.0.0,,,2023-12-03 15:30:51,2023-12-03 15:30:52,1.089s,PASSED
navigateToUrl(Baseurl),Chrome 119.0.0.0,,,2023-12-03 15:30:52,2023-12-03 15:30:54,1.030s,PASSED
"setText(findTestObject(""Object Repository/Login_OR/Page_Swag Labs/input_username""), Username)",Chrome 119.0.0.0,,,2023-12-03 15:30:54,2023-12-03 15:30:56,2.520s,PASSED
"setText(findTestObject(""Object Repository/Login_OR/Page_Swag Labs/input_password""), Password)",Chrome 119.0.0.0,,,2023-12-03 15:30:56,2023-12-03 15:30:57,0.662s,PASSED
