Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
login_data,Chrome 119.0.0.0,,,2023-11-27 17:49:49,2023-11-27 17:54:48,4m - 58.906s,FAILED
,,,,,,,
Test Cases/Login/login,Chrome 119.0.0.0,,,2023-11-27 17:49:50,2023-11-27 17:50:57,1m - 6.880s,PASSED
"openBrowser("""")",Chrome 119.0.0.0,,,2023-11-27 17:49:50,2023-11-27 17:49:53,2.424s,PASSED
"navigateToUrl(""https://www.saucedemo.com/"")",Chrome 119.0.0.0,,,2023-11-27 17:49:53,2023-11-27 17:50:42,49.683s,PASSED
"setText(findTestObject(""Object Repository/Login_OR/Page_Swag Labs/input_Swag Labs_user-name""), ""standard_user"")",Chrome 119.0.0.0,,,2023-11-27 17:50:42,2023-11-27 17:50:55,12.380s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Login_OR/Page_Swag Labs/input_Swag Labs_password""), ""qcu24s4901FyWDTwXGr6XA=="")",Chrome 119.0.0.0,,,2023-11-27 17:50:55,2023-11-27 17:50:55,0.531s,PASSED
"click(findTestObject(""Object Repository/Login_OR/Page_Swag Labs/input_Swag Labs_login-button""))",Chrome 119.0.0.0,,,2023-11-27 17:50:55,2023-11-27 17:50:56,0.491s,PASSED
"click(findTestObject(""Object Repository/Login_OR/Page_Swag Labs/button_Open Menu""))",Chrome 119.0.0.0,,,2023-11-27 17:50:56,2023-11-27 17:50:56,0.415s,PASSED
"click(findTestObject(""Object Repository/Login_OR/Page_Swag Labs/a_Logout""))",Chrome 119.0.0.0,,,2023-11-27 17:50:56,2023-11-27 17:50:57,0.407s,PASSED
,,,,,,,
Test Cases/Login/login,Chrome 119.0.0.0,,,2023-11-27 17:50:57,2023-11-27 17:54:11,3m - 14.238s,PASSED
"openBrowser("""")",Chrome 119.0.0.0,,,2023-11-27 17:50:57,2023-11-27 17:50:58,1.067s,PASSED
"navigateToUrl(""https://www.saucedemo.com/"")",Chrome 119.0.0.0,,,2023-11-27 17:50:58,2023-11-27 17:51:09,11.695s,PASSED
